League,Team,Player
Premier League 2016/17,Hull City FC,Steve Harper
Premier League 2016/17,Hull City FC,Harry Maguire
Premier League 2016/17,Hull City FC,Robbie Brady
Premier League 2016/17,Hull City FC,Tom Ince
Premier League 2016/17,Hull City FC,Nikica Jelavic
Premier League 2016/17,Hull City FC,Calaum Jahraldo-Martin
Premier League 2016/17,Hull City FC,Dame N'Doye
Premier League 2016/17,Hull City FC,Allan McGregor
Premier League 2016/17,Hull City FC,Eldin Jakupovic
Premier League 2016/17,Hull City FC,Mark Oxley
Premier League 2016/17,Hull City FC,Rory Watson
Premier League 2016/17,Hull City FC,Michael Dawson
Premier League 2016/17,Hull City FC,Curtis Davies
Premier League 2016/17,Hull City FC,James Chester
Premier League 2016/17,Hull City FC,Paul McShane
Premier League 2016/17,Hull City FC,Alex Bruce
Premier League 2016/17,Hull City FC,Maynor Figueroa
Premier League 2016/17,Hull City FC,Andrew Robertson
Premier League 2016/17,Hull City FC,Joe Dudgeon
Premier League 2016/17,Hull City FC,Conor Townsend
Premier League 2016/17,Hull City FC,Liam Rosenior
Premier League 2016/17,Hull City FC,Tom Huddlestone
Premier League 2016/17,Hull City FC,Mohamed Diamé
Premier League 2016/17,Hull City FC,David Meyler
Premier League 2016/17,Hull City FC,Jake Livermore
Premier League 2016/17,Hull City FC,Stephen Quinn
Premier League 2016/17,Hull City FC,Ahmed Elmohamady
Premier League 2016/17,Hull City FC,Robert Snodgrass
Premier League 2016/17,Hull City FC,Sone Aluko
Premier League 2016/17,Hull City FC,Abel Hernández
Premier League 2016/17,Hull City FC,Yannick Sagbo
Premier League 2016/17,Leicester City FC,Yohan Benalouane
Premier League 2016/17,Leicester City FC,Islam Slimani
Premier League 2016/17,Leicester City FC,Ahmed Musa
Premier League 2016/17,Leicester City FC,Nampalys Mendy
Premier League 2016/17,Leicester City FC,Ron-Robert Zieler
Premier League 2016/17,Leicester City FC,Luis Hernández
Premier League 2016/17,Leicester City FC,Kasper Schmeichel
Premier League 2016/17,Leicester City FC,Ben Hamer
Premier League 2016/17,Leicester City FC,Robert Huth
Premier League 2016/17,Leicester City FC,Wes Morgan
Premier League 2016/17,Leicester City FC,Marcin Wasilewski
Premier League 2016/17,Leicester City FC,Jeffrey Schlupp
Premier League 2016/17,Leicester City FC,Ben Chilwell
Premier League 2016/17,Leicester City FC,Danny Simpson
Premier League 2016/17,Leicester City FC,Daniel Amartey
Premier League 2016/17,Leicester City FC,Danny Drinkwater
Premier League 2016/17,Leicester City FC,Andy King
Premier League 2016/17,Leicester City FC,Matty James
Premier League 2016/17,Leicester City FC,Marc Albrighton
Premier League 2016/17,Leicester City FC,Bartosz Kapustka
Premier League 2016/17,Leicester City FC,Demarai Gray
Premier League 2016/17,Leicester City FC,Riyad Mahrez
Premier League 2016/17,Leicester City FC,Jamie Vardy
Premier League 2016/17,Leicester City FC,Shinji Okazaki
Premier League 2016/17,Leicester City FC,Leonardo Ulloa
Premier League 2016/17,Southampton FC,Pierre-Emile Höjbjerg
Premier League 2016/17,Southampton FC,Alex McCarthy
Premier League 2016/17,Southampton FC,Lloyd Isgrove
Premier League 2016/17,Southampton FC,Shane Long
Premier League 2016/17,Southampton FC,Jérémy Pied
Premier League 2016/17,Southampton FC,Sofiane Boufal
Premier League 2016/17,Southampton FC,Nathan Redmond
Premier League 2016/17,Southampton FC,Fraser Forster
Premier League 2016/17,Southampton FC,Virgil van Dijk
Premier League 2016/17,Southampton FC,José Fonte
Premier League 2016/17,Southampton FC,Florin Gardos
Premier League 2016/17,Southampton FC,Maya Yoshida
Premier League 2016/17,Southampton FC,Jack Stephens
Premier League 2016/17,Southampton FC,Ryan Bertrand
Premier League 2016/17,Southampton FC,Matt Targett
Premier League 2016/17,Southampton FC,Cédric Soares
Premier League 2016/17,Southampton FC,Cuco Martina
Premier League 2016/17,Southampton FC,Jordy Clasie
Premier League 2016/17,Southampton FC,Oriol Romeu
Premier League 2016/17,Southampton FC,James Ward-Prowse
Premier League 2016/17,Southampton FC,Steven Davis
Premier League 2016/17,Southampton FC,Harrison Reed
Premier League 2016/17,Southampton FC,Dusan Tadic
Premier League 2016/17,Southampton FC,Sam McQueen
Premier League 2016/17,Southampton FC,Jay Rodríguez
Premier League 2016/17,Southampton FC,Charlie Austin
Premier League 2016/17,Southampton FC,Stuart Taylor
Premier League 2016/17,Watford FC,Roberto Pereyra
Premier League 2016/17,Watford FC,Stefano Okaka
Premier League 2016/17,Watford FC,Camilo Zúñiga
Premier League 2016/17,Watford FC,Daryl Janmaat
Premier League 2016/17,Watford FC,Brice Dja Djedjé
Premier League 2016/17,Watford FC,Abdoulaye Doucouré
Premier League 2016/17,Watford FC,Isaac Success
Premier League 2016/17,Watford FC,Giedrius Arlauskis
Premier League 2016/17,Watford FC,Costel Pantilimon
Premier League 2016/17,Watford FC,Heurelho Gomes
Premier League 2016/17,Watford FC,Rene Gilmartin
Premier League 2016/17,Watford FC,Christian Kabasele
Premier League 2016/17,Watford FC,Sebastian Prödl
Premier League 2016/17,Watford FC,Craig Cathcart
Premier League 2016/17,Watford FC,Miguel Britos
Premier League 2016/17,Watford FC,José Holebas
Premier League 2016/17,Watford FC,Juan Carlos Paredes
Premier League 2016/17,Watford FC,Étienne Capoue
Premier League 2016/17,Watford FC,Valon Behrami
Premier League 2016/17,Watford FC,Ben Watson
Premier League 2016/17,Watford FC,Adlène Guédioura
Premier League 2016/17,Watford FC,Nordin Amrabat
Premier League 2016/17,Watford FC,Odion Ighalo
Premier League 2016/17,Watford FC,Troy Deeney
Premier League 2016/17,Watford FC,Jerome Sinclair
Premier League 2016/17,Watford FC,Kenedy
Premier League 2016/17,Watford FC,Younès Kaboul
Premier League 2016/17,Watford FC,Haviv Ohayon
Premier League 2016/17,Watford FC,Adrian Mariappa
Premier League 2016/17,Middlesbrough FC,David Nugent
Premier League 2016/17,Middlesbrough FC,Stewart Downing
Premier League 2016/17,Middlesbrough FC,Brad Guzan
Premier League 2016/17,Middlesbrough FC,Gastón Ramírez
Premier League 2016/17,Middlesbrough FC,Viktor Fischer
Premier League 2016/17,Middlesbrough FC,Antonio Barragán
Premier League 2016/17,Middlesbrough FC,Álvaro Negredo
Premier League 2016/17,Middlesbrough FC,Víctor Valdés
Premier League 2016/17,Middlesbrough FC,Bernardo Espinosa
Premier League 2016/17,Middlesbrough FC,Marten de Roon
Premier League 2016/17,Middlesbrough FC,Dimitrios Konstantopoulos
Premier League 2016/17,Middlesbrough FC,Tomás Mejías
Premier League 2016/17,Middlesbrough FC,Daniel Ayala
Premier League 2016/17,Middlesbrough FC,Ben Gibson
Premier League 2016/17,Middlesbrough FC,Fábio
Premier League 2016/17,Middlesbrough FC,George Friend
Premier League 2016/17,Middlesbrough FC,James Husband
Premier League 2016/17,Middlesbrough FC,Emilio Nsue
Premier League 2016/17,Middlesbrough FC,Julien de Sart
Premier League 2016/17,Middlesbrough FC,Adam Clayton
Premier League 2016/17,Middlesbrough FC,Adam Forshaw
Premier League 2016/17,Middlesbrough FC,Grant Leadbitter
Premier League 2016/17,Middlesbrough FC,Carlos de Pena
Premier League 2016/17,Middlesbrough FC,Jordan Rhodes
Premier League 2016/17,Middlesbrough FC,Cristhian Stuani
Premier League 2016/17,Middlesbrough FC,Calum Chambers
Premier League 2016/17,Stoke City FC,Bruno Martins Indi
Premier League 2016/17,Stoke City FC,Daniel Bachmann
Premier League 2016/17,Stoke City FC,Wilfried Bony
Premier League 2016/17,Stoke City FC,Jack Butland
Premier League 2016/17,Stoke City FC,Jakob Haugaard
Premier League 2016/17,Stoke City FC,Shay Given
Premier League 2016/17,Stoke City FC,Ryan Shawcross
Premier League 2016/17,Stoke City FC,Marc Muniesa
Premier League 2016/17,Stoke City FC,Geoff Cameron
Premier League 2016/17,Stoke City FC,Dionatan Teixeira
Premier League 2016/17,Stoke City FC,Erik Pieters
Premier League 2016/17,Stoke City FC,Glen Johnson
Premier League 2016/17,Stoke City FC,Phil Bardsley
Premier League 2016/17,Stoke City FC,Giannelli Imbula
Premier League 2016/17,Stoke City FC,Glenn Whelan
Premier League 2016/17,Stoke City FC,Joe Allen
Premier League 2016/17,Stoke City FC,Charlie Adam
Premier League 2016/17,Stoke City FC,Stephen Ireland
Premier League 2016/17,Stoke City FC,Ibrahim Afellay
Premier League 2016/17,Stoke City FC,Ramadan Sobhi
Premier League 2016/17,Stoke City FC,Xherdan Shaqiri
Premier League 2016/17,Stoke City FC,Marko Arnautovic
Premier League 2016/17,Stoke City FC,Jonathan Walters
Premier League 2016/17,Stoke City FC,Bojan Krkic
Premier League 2016/17,Stoke City FC,Mame Diouf
Premier League 2016/17,Stoke City FC,Peter Crouch
Premier League 2016/17,Stoke City FC,Lee Grant
Premier League 2016/17,Everton FC,Idrissa Gueye
Premier League 2016/17,Everton FC,Conor McAleny
Premier League 2016/17,Everton FC,Joel Robles
Premier League 2016/17,Everton FC,Maarten Stekelenburg
Premier League 2016/17,Everton FC,Ramiro Funes Mori
Premier League 2016/17,Everton FC,Ashley Williams
Premier League 2016/17,Everton FC,Phil Jagielka
Premier League 2016/17,Everton FC,Leighton Baines
Premier League 2016/17,Everton FC,Bryan Oviedo
Premier League 2016/17,Everton FC,Seamus Coleman
Premier League 2016/17,Everton FC,Tyias Browning
Premier League 2016/17,Everton FC,Muhamed Besic
Premier League 2016/17,Everton FC,Gareth Barry
Premier League 2016/17,Everton FC,James McCarthy
Premier League 2016/17,Everton FC,Tom Cleverley
Premier League 2016/17,Everton FC,Darron Gibson
Premier League 2016/17,Everton FC,Ross Barkley
Premier League 2016/17,Everton FC,Kevin Mirallas
Premier League 2016/17,Everton FC,Gerard Deulofeu
Premier League 2016/17,Everton FC,Aaron Lennon
Premier League 2016/17,Everton FC,Romelu Lukaku
Premier League 2016/17,Everton FC,Oumar Niasse
Premier League 2016/17,Everton FC,Arouna Koné
Premier League 2016/17,Everton FC,Leandro Rodríguez
Premier League 2016/17,Everton FC,Enner Valencia
Premier League 2016/17,Everton FC,Yannick Bolasie
Premier League 2016/17,Everton FC,Mason Holgate
Premier League 2016/17,Tottenham Hotspur FC,Moussa Sissoko
Premier League 2016/17,Tottenham Hotspur FC,Georges-Kevin N'Koudou
Premier League 2016/17,Tottenham Hotspur FC,Pau López
Premier League 2016/17,Tottenham Hotspur FC,Hugo Lloris
Premier League 2016/17,Tottenham Hotspur FC,Michel Vorm
Premier League 2016/17,Tottenham Hotspur FC,Toby Alderweireld
Premier League 2016/17,Tottenham Hotspur FC,Jan Vertonghen
Premier League 2016/17,Tottenham Hotspur FC,Kevin Wimmer
Premier League 2016/17,Tottenham Hotspur FC,Danny Rose
Premier League 2016/17,Tottenham Hotspur FC,Ben Davies
Premier League 2016/17,Tottenham Hotspur FC,Kyle Walker
Premier League 2016/17,Tottenham Hotspur FC,Kieran Trippier
Premier League 2016/17,Tottenham Hotspur FC,Eric Dier
Premier League 2016/17,Tottenham Hotspur FC,Victor Wanyama
Premier League 2016/17,Tottenham Hotspur FC,Dele Alli
Premier League 2016/17,Tottenham Hotspur FC,Mousa Dembélé
Premier League 2016/17,Tottenham Hotspur FC,Tom Carroll
Premier League 2016/17,Tottenham Hotspur FC,Christian Eriksen
Premier League 2016/17,Tottenham Hotspur FC,Josh Onomah
Premier League 2016/17,Tottenham Hotspur FC,Érik Lamela
Premier League 2016/17,Tottenham Hotspur FC,Heung-Min Son
Premier League 2016/17,Tottenham Hotspur FC,Harry Kane
Premier League 2016/17,Tottenham Hotspur FC,Vincent Janssen
Premier League 2016/17,Crystal Palace FC,Andros Townsend
Premier League 2016/17,Crystal Palace FC,Steve Mandanda
Premier League 2016/17,Crystal Palace FC,Christian Benteke
Premier League 2016/17,Crystal Palace FC,Loïc Rémy
Premier League 2016/17,Crystal Palace FC,Wayne Hennessey
Premier League 2016/17,Crystal Palace FC,Julián Speroni
Premier League 2016/17,Crystal Palace FC,James Tomkins
Premier League 2016/17,Crystal Palace FC,Scott Dann
Premier League 2016/17,Crystal Palace FC,Damien Delaney
Premier League 2016/17,Crystal Palace FC,Pape Souaré
Premier League 2016/17,Crystal Palace FC,Zeki Fryers
Premier League 2016/17,Crystal Palace FC,Joel Ward
Premier League 2016/17,Crystal Palace FC,Martin Kelly
Premier League 2016/17,Crystal Palace FC,Yohan Cabaye
Premier League 2016/17,Crystal Palace FC,James McArthur
Premier League 2016/17,Crystal Palace FC,Jordon Mutch
Premier League 2016/17,Crystal Palace FC,Joe Ledley
Premier League 2016/17,Crystal Palace FC,Bakary Sako
Premier League 2016/17,Crystal Palace FC,Wilfried Zaha
Premier League 2016/17,Crystal Palace FC,Jason Puncheon
Premier League 2016/17,Crystal Palace FC,Chung-Yong Lee
Premier League 2016/17,Crystal Palace FC,Connor Wickham
Premier League 2016/17,Crystal Palace FC,Fraizer Campbell
Premier League 2016/17,Crystal Palace FC,Kwesi Appiah
Premier League 2016/17,West Bromwich Albion FC,Matt Phillips
Premier League 2016/17,West Bromwich Albion FC,Ben Foster
Premier League 2016/17,West Bromwich Albion FC,Boaz Myhill
Premier League 2016/17,West Bromwich Albion FC,Jack Rose
Premier League 2016/17,West Bromwich Albion FC,Jonny Evans
Premier League 2016/17,West Bromwich Albion FC,Jonas Olsson
Premier League 2016/17,West Bromwich Albion FC,Gareth McAuley
Premier League 2016/17,West Bromwich Albion FC,Craig Dawson
Premier League 2016/17,West Bromwich Albion FC,Claudio Yacob
Premier League 2016/17,West Bromwich Albion FC,James Morrison
Premier League 2016/17,West Bromwich Albion FC,Craig Gardner
Premier League 2016/17,West Bromwich Albion FC,Darren Fletcher
Premier League 2016/17,West Bromwich Albion FC,Chris Brunt
Premier League 2016/17,West Bromwich Albion FC,James McClean
